"",E Week12,"Cumulative first12Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,21,10,10
Acute Hepatitis E,2,0,1,9,8,14
Campylobacteriosis,12,11,11,130,109,109
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,7,5,5
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,20,23,23,264,257,257
Typhoid,2,3,2,13,11,11
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,4,2,2
Dengue Fever,102,319,319,1123,4801,2820
Dengue Haemorrhagic Fever,0,1,0,3,16,7
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,0,1,17,17,8
Malaria,0,0,1,9,5,3
Murine Typhus,0,2,0,34,9,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,4,4,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,0,0,10,7,4
Measles,1,1,0,6,2,2
Melioidosis,1,0,0,13,5,9
Meningococcal Disease,0,0,0,2,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,4,6,NA
Mumps,5,4,4,54,60,47
Pertussis,0,0,0,27,22,2
Pneumococcal Disease (Invasive),0,4,2,35,32,27
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,1,9,8,8
Acute Hepatitis C,0,1,0,13,4,4
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2179,2274,2274,,,NA
Acute Conjunctivitis,93,68,46,,,NA
Acute Diarrhoea,405,376,370,,,NA
Chickenpox,5,7,5,,,NA
"Hand, Foot And Mouth Disease",37,25,6,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Feb,,Cumulative 2025,,
HIV/AIDS,18,,26,,,
Legally Notifiable STIs,306,,566,,,
Tuberculosis,88,,162,,,
