,E Week,28,,Cumulative first,28,Week
,2025*,2024,Median,2025*,2024,Median
,,,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,1,1,49,23,18
Acute Hepatitis E,1,0,1,32,20,26
Campylobacteriosis,10,11,9,304,269,274
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,10,13,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,32,36,33,684,796,737
Typhoid,3,1,1,31,29,29
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,16,7,7
Dengue Fever,112,291,291,2801,9842,9842
Dengue Haemorrhagic Fever,0,0,0,14,32,29
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,0,2,45,26,25
Malaria,0,1,0,17,11,8
Murine Typhus,0,0,0,56,35,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,1,0,10,9,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,3,0,0,28,16,10
Measles,0,0,0,14,8,6
Melioidosis,1,2,1,31,32,21
Meningococcal Disease,0,0,0,4,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,0,0,NA,10,10,NA
Mumps,2,2,4,125,137,107
Pertussis,2,4,0,56,57,11
Pneumococcal Disease (Invasive),6,1,1,76,65,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,1,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,16,22,19
Acute Hepatitis C,0,1,1,17,9,9
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2148,2701,2449,,,NA
Acute Conjunctivitis,83,74,40,,,NA
Acute Diarrhoea,461,476,366,,,NA
Chickenpox,5,7,4,,,NA
"Hand, Foot And Mouth Disease",20,36,23,,,NA
HIV/STI/TB NOTIFICATIONS,2025,Jun,,Cumulative 2025,,
HIV/AIDS,10,,72,,,
Legally Notifiable STIs,366,,1765,,,
Tuberculosis,91,,500,,,
