"",E Week3,"Cumulative first3Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,0,0,6,3,3
Acute Hepatitis E,1,1,1,3,5,5
Campylobacteriosis,8,9,9,33,32,32
Cholera,0,0,0,2,0,0
Paratyphoid,0,1,0,2,1,1
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,24,25,25,72,69,70
Typhoid,3,2,2,5,3,4
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,1,0,0
Dengue Fever,98,409,272,314,1108,829
Dengue Haemorrhagic Fever,1,0,1,1,0,2
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,6,2,3,6,3
Malaria,3,3,0,6,4,0
Murine Typhus,2,1,0,14,2,1
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,2,1,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,0,0,1,3,1
Measles,0,0,0,1,0,0
Melioidosis,1,2,2,5,3,2
Meningococcal Disease,0,0,0,0,0,0
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox#,1,0,NA,1,0,NA
Mumps,10,8,5,15,18,16
Pertussis,3,1,1,10,5,2
Pneumococcal Disease (Invasive),1,2,2,14,9,7
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,1,3,3,1
Acute Hepatitis C,0,1,0,2,1,1
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2866,2607,2405,,,NA
Acute Conjunctivitis,100,84,63,,,NA
Acute Diarrhoea,398,372,372,,,NA
Chickenpox,5,7,5,,,NA
"Hand, Foot And Mouth Disease",24,22,15,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Dec,,Cumulative 2024,,
HIV/AIDS,8,,137,,,
Legally Notifiable STIs,289,,3440,,,
Tuberculosis,108,,1162,,,
