"",E Week,25,,Cumulative first,25,Week
"",2025,2024,Median,2025,2024,Median
"",2020 -2024,2020 -2024,,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,2,0,43,19,15
Acute Hepatitis E,3,2,0,30,20,24
Campylobacteriosis,14,11,9,272,235,235
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,10,13,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,24,26,28,593,683,629
Typhoid,1,1,0,25,27,27
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,13,5,5
Dengue Fever,106,296,296,2472,8933,8933
Dengue Haemorrhagic Fever,0,1,1,12,32,27
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,2,1,1,36,23,22
Malaria,0,0,0,15,10,7
Murine Typhus,1,4,0,52,33,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,8,7,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,2,0,0,23,12,9
Measles,0,0,0,12,8,6
Melioidosis,1,0,0,29,26,20
Meningococcal Disease,0,0,0,4,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,0,0,NA,8,9,NA
Mumps,3,0,4,116,127,98
Pertussis,3,6,0,51,51,9
Pneumococcal Disease (Invasive),5,2,1,69,62,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,2,0,16,20,19
Acute Hepatitis C,0,0,0,17,7,7
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,1996,2279,1885,,,NA
Acute Conjunctivitis,84,73,40,,,NA
Acute Diarrhoea,423,438,304,,,NA
Chickenpox,5,7,3,,,NA
"Hand, Foot And Mouth Disease",21,29,16,,,NA
HIV/STI/TB NOTIFICATIONS,2025,May,,Cumulative 2025,,
HIV/AIDS,9,,62,,,
Legally Notifiable STIs,318,,1399,,,
Tuberculosis,85,,411,,,
