,E Week,31,,Cumulative first,31,Week
,2025*,2024,Median,2025*,2024,Median
,,,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,54,30,18
Acute Hepatitis E,1,1,1,34,25,28
Campylobacteriosis,11,7,8,335,291,304
Cholera,0,1,0,2,1,0
Paratyphoid,0,0,0,11,14,8
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,14,33,26,754,903,845
Typhoid,1,1,1,34,31,31
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,1,0,17,8,8
Dengue Fever,71,274,274,3034,10661,10661
Dengue Haemorrhagic Fever,0,0,0,14,34,32
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,2,1,46,30,29
Malaria,0,0,0,19,14,10
Murine Typhus,1,4,0,59,39,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,11,9,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,2,0,31,20,11
Measles,1,0,0,15,8,6
Melioidosis,1,1,1,34,36,24
Meningococcal Disease,0,0,0,4,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,1,0,NA,11,10,NA
Mumps,7,4,2,141,153,118
Pertussis,1,4,0,63,64,11
Pneumococcal Disease (Invasive),6,2,1,84,73,36
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,16,27,21
Acute Hepatitis C,0,0,0,16,9,9
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2298,2242,2242,,,NA
Acute Conjunctivitis,87,79,46,,,NA
Acute Diarrhoea,475,458,355,,,NA
Chickenpox,4,7,4,,,NA
"Hand, Foot And Mouth Disease",22,39,19,,,NA
HIV/STI/TB NOTIFICATIONS,2025,Jun,,Cumulative 2025,,
HIV/AIDS,10,,72,,,
Legally Notifiable STIs,366,,1765,,,
Tuberculosis,91,,500,,,
