"",E Week11,"Cumulative first11Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,20,10,8
Acute Hepatitis E,2,0,1,7,8,13
Campylobacteriosis,9,6,8,118,98,99
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,7,5,5
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,17,21,25,245,234,234
Typhoid,2,0,0,11,8,10
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,3,2,2
Dengue Fever,72,329,329,1021,4482,2379
Dengue Haemorrhagic Fever,0,2,0,3,15,7
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,4,1,0,17,17,7
Malaria,0,0,0,9,5,2
Murine Typhus,4,0,0,34,7,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,4,4,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,2,0,0,9,7,4
Measles,0,0,0,5,1,1
Melioidosis,0,0,1,12,5,8
Meningococcal Disease,1,0,0,2,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,1,NA,4,6,NA
Mumps,7,6,3,49,56,45
Pertussis,2,3,0,27,22,2
Pneumococcal Disease (Invasive),0,1,0,35,28,26
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,8,7,7
Acute Hepatitis C,1,0,0,13,3,3
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2431,2134,2134,,,NA
Acute Conjunctivitis,108,74,56,,,NA
Acute Diarrhoea,448,335,326,,,NA
Chickenpox,8,6,4,,,NA
"Hand, Foot And Mouth Disease",39,28,8,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Feb,,Cumulative 2025,,
HIV/AIDS,18,,26,,,
Legally Notifiable STIs,306,,566,,,
Tuberculosis,88,,162,,,
