"",E Week14,"Cumulative first14Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,2020 -2024,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,1,22,10,10
Acute Hepatitis E,2,1,1,13,9,15
Campylobacteriosis,9,7,11,146,125,125
Cholera,0,0,0,2,0,0
Paratyphoid,1,1,0,8,6,5
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,24,28,25,314,303,303
Typhoid,1,0,0,15,13,14
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,1,0,5,3,3
Dengue Fever,89,414,315,1308,5562,3972
Dengue Haemorrhagic Fever,0,1,0,3,19,8
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,0,0,17,17,12
Malaria,0,0,0,10,5,3
Murine Typhus,0,2,0,35,13,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,4,4,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,3,0,0,13,7,5
Measles,0,1,0,7,3,3
Melioidosis,2,1,0,15,6,11
Meningococcal Disease,0,0,0,2,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,4,7,NA
Mumps,4,4,4,66,69,52
Pertussis,0,3,0,30,26,2
Pneumococcal Disease (Invasive),2,3,1,39,40,30
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,0,11,8,9
Acute Hepatitis C,0,0,0,12,4,4
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2471,2145,2065,,,NA
Acute Conjunctivitis,120,80,45,,,NA
Acute Diarrhoea,487,394,387,,,NA
Chickenpox,7,4,5,,,NA
"Hand, Foot And Mouth Disease",43,19,7,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Mar,,Cumulative 2025,,
HIV/AIDS,12,,38,,,
Legally Notifiable STIs,262,,828,,,
Tuberculosis,91,,247,,,
