,E Week,26,,Cumulative first,26,Week
,2025*,2024,Median,2025*,2024,Median
,,,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,1,1,45,20,15
Acute Hepatitis E,0,0,0,30,20,24
Campylobacteriosis,13,13,14,285,248,251
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,10,13,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,32,43,31,625,726,675
Typhoid,2,0,0,27,27,27
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,0,14,6,6
Dengue Fever,100,291,291,2572,9224,9224
Dengue Haemorrhagic Fever,1,0,0,13,32,27
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,3,2,0,40,25,22
Malaria,2,0,0,17,10,7
Murine Typhus,3,2,0,55,35,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,1,0,9,8,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,2,1,24,14,10
Measles,1,0,0,13,8,6
Melioidosis,1,2,1,30,28,20
Meningococcal Disease,0,0,0,4,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,0,0,NA,8,9,NA
Mumps,2,7,6,118,134,100
Pertussis,2,1,0,53,52,10
Pneumococcal Disease (Invasive),1,2,1,70,64,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,2,0,16,22,19
Acute Hepatitis C,0,1,0,17,8,8
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2018,2377,2122,,,NA
Acute Conjunctivitis,87,74,48,,,NA
Acute Diarrhoea,433,477,368,,,NA
Chickenpox,4,7,4,,,NA
"Hand, Foot And Mouth Disease",20,32,26,,,NA
HIV/STI/TB NOTIFICATIONS,2025,May,,Cumulative 2025,,
HIV/AIDS,9,,62,,,
Legally Notifiable STIs,318,,1399,,,
Tuberculosis,85,,411,,,
