,E Week,27,,Cumulative first,27,Week
,2025*,2024,Median,2025*,2024,Median
,,,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,2,1,47,22,16
Acute Hepatitis E,1,0,1,31,20,25
Campylobacteriosis,9,10,12,294,258,263
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,10,13,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,24,32,26,652,760,704
Typhoid,1,1,1,28,28,28
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,2,1,0,16,7,7
Dengue Fever,119,327,327,2689,9551,9551
Dengue Haemorrhagic Fever,1,0,0,14,32,29
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,4,1,1,44,26,23
Malaria,0,0,0,17,10,7
Murine Typhus,1,0,0,56,35,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,9,8,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,2,1,25,16,10
Measles,1,0,0,14,8,6
Melioidosis,0,2,1,30,30,21
Meningococcal Disease,0,0,0,4,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,1,1,NA,10,10,NA
Mumps,5,1,5,123,135,102
Pertussis,1,1,0,54,53,10
Pneumococcal Disease (Invasive),0,0,1,70,64,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,16,22,19
Acute Hepatitis C,0,0,0,17,8,8
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2147,2449,2211,,,NA
Acute Conjunctivitis,88,74,48,,,NA
Acute Diarrhoea,473,454,382,,,NA
Chickenpox,5,6,3,,,NA
"Hand, Foot And Mouth Disease",25,34,21,,,NA
HIV/STI/TB NOTIFICATIONS,2025,Jun,,Cumulative 2025,,
HIV/AIDS,10,,72,,,
Legally Notifiable STIs,366,,1765,,,
Tuberculosis,91,,500,,,
