"",E Week9,"Cumulative first9Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,2020 -2024,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,0,0,19,8,6
Acute Hepatitis E,0,0,0,4,7,9
Campylobacteriosis,13,8,8,101,88,88
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,6,5,5
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,30,26,25,209,204,199
Typhoid,0,2,1,7,8,10
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,0,2,1,1
Dengue Fever,82,368,263,863,3788,1853
Dengue Haemorrhagic Fever,0,2,1,3,11,7
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,0,0,13,15,6
Malaria,2,0,0,8,4,2
Murine Typhus,0,1,0,26,7,2
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,3,3,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,1,1,7,5,4
Measles,1,0,0,3,1,1
Melioidosis,2,0,0,11,4,7
Meningococcal Disease,0,0,0,1,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,1,NA,4,3,NA
Mumps,6,4,3,38,47,43
Pertussis,1,2,0,22,16,2
Pneumococcal Disease (Invasive),3,6,1,31,26,24
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,1,7,7,6
Acute Hepatitis C,0,1,0,7,3,2
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2617,2335,2473,,,NA
Acute Conjunctivitis,106,75,63,,,NA
Acute Diarrhoea,465,368,345,,,NA
Chickenpox,6,7,4,,,NA
"Hand, Foot And Mouth Disease",29,25,11,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Feb,,Cumulative 2025,,
HIV/AIDS,18,,26,,,
Legally Notifiable STIs,306,,566,,,
Tuberculosis,88,,162,,,
