,E Week,32,,Cumulative first,32,Week
,2025*,2024,Median,2025*,2024,Median
,,,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,54,30,18
Acute Hepatitis E,3,1,0,37,26,28
Campylobacteriosis,12,7,7,345,298,311
Cholera,0,1,0,2,2,0
Paratyphoid,0,0,0,11,14,8
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,32,35,30,785,938,865
Typhoid,0,2,1,34,33,33
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,2,1,0,19,9,9
Dengue Fever,73,218,218,3107,10879,10879
Dengue Haemorrhagic Fever,0,0,0,14,34,32
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,0,0,46,30,30
Malaria,4,0,0,23,14,10
Murine Typhus,1,6,0,60,45,6
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,11,9,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,31,20,11
Measles,1,0,0,16,8,6
Melioidosis,0,0,0,34,36,24
Meningococcal Disease,0,0,0,4,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,1,2,NA,12,12,NA
Mumps,2,6,3,143,159,121
Pertussis,5,2,0,68,66,11
Pneumococcal Disease (Invasive),2,0,0,86,73,36
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,2,0,17,29,21
Acute Hepatitis C,0,0,0,16,9,9
Botulism,0,0,0,0,0,0
,,,,,,
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2274,2165,2165,,,NA
Acute Conjunctivitis,86,79,45,,,NA
Acute Diarrhoea,517,460,389,,,NA
Chickenpox,5,7,4,,,NA
"Hand, Foot And Mouth Disease",16,42,23,,,NA
HIV/STI/TB NOTIFICATIONS,2025,Jun,,Cumulative 2025,,
HIV/AIDS,10,,72,,,
Legally Notifiable STIs,366,,1765,,,
Tuberculosis,91,,512,,,
