"",E Week18,"Cumulative first18Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,1,1,32,12,12
Acute Hepatitis E,1,0,1,17,10,18
Campylobacteriosis,9,8,13,188,166,166
Cholera,0,0,0,2,0,0
Paratyphoid,0,1,0,8,11,6
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,30,17,23,407,434,434
Typhoid,1,2,1,19,19,21
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,9,3,3
Dengue Fever,89,247,247,1688,6789,6567
Dengue Haemorrhagic Fever,0,1,0,3,25,11
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,2,0,0,28,18,13
Malaria,0,0,0,10,7,4
Murine Typhus,2,1,0,40,17,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,4,6,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,2,0,0,16,7,5
Measles,0,1,0,8,7,5
Melioidosis,0,2,1,20,10,12
Meningococcal Disease,0,0,0,3,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,5,8,NA
Mumps,3,6,6,84,90,70
Pertussis,3,1,1,36,31,4
Pneumococcal Disease (Invasive),3,3,1,45,51,32
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,2,1,12,12,13
Acute Hepatitis C,0,1,0,15,6,6
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2906,2857,1663,,,NA
Acute Conjunctivitis,102,76,45,,,NA
Acute Diarrhoea,481,426,380,,,NA
Chickenpox,7,7,3,,,NA
"Hand, Foot And Mouth Disease",61,34,9,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Apr,,Cumulative 2025,,
HIV/AIDS,15,,53,,,
Legally Notifiable STIs,253,,1081,,,
Tuberculosis,82,,328,,,
