"",E Week10,"Cumulative first10Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,2020 -2024,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,2,1,20,10,7
Acute Hepatitis E,1,1,1,5,8,12
Campylobacteriosis,10,4,13,110,92,92
Cholera,0,0,0,2,0,0
Paratyphoid,1,0,0,7,5,5
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,22,9,23,230,213,213
Typhoid,1,0,0,9,8,10
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,0,2,2,2
Dengue Fever,87,365,365,950,4153,1972
Dengue Haemorrhagic Fever,0,2,0,3,13,7
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,1,1,13,16,7
Malaria,1,1,0,9,5,2
Murine Typhus,4,0,0,30,7,2
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,4,3,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,2,0,7,7,4
Measles,2,0,0,5,1,1
Melioidosis,1,1,1,12,5,7
Meningococcal Disease,0,0,0,1,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,2,NA,4,5,NA
Mumps,4,3,2,42,50,45
Pertussis,3,3,0,25,19,2
Pneumococcal Disease (Invasive),4,1,1,35,27,26
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,0,8,7,7
Acute Hepatitis C,0,0,1,7,3,3
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2542,2278,2317,,,NA
Acute Conjunctivitis,103,63,63,,,NA
Acute Diarrhoea,438,361,357,,,NA
Chickenpox,3,8,5,,,NA
"Hand, Foot And Mouth Disease",35,29,8,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Feb,,Cumulative 2025,,
HIV/AIDS,18,,26,,,
Legally Notifiable STIs,306,,566,,,
Tuberculosis,88,,162,,,
