,E Week,34,,Cumulative first,34,Week
,2025*,2024,Median,2025*,2024,Median
,,,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,3,0,56,34,19
Acute Hepatitis E,0,0,1,39,26,28
Campylobacteriosis,17,9,8,374,315,328
Cholera,0,1,0,2,3,0
Paratyphoid,0,0,0,11,14,8
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,34,40,31,849,1019,908
Typhoid,0,0,1,35,35,35
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,0,21,11,10
Dengue Fever,47,185,197,3216,11279,11279
Dengue Haemorrhagic Fever,0,0,1,14,35,33
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,2,1,1,48,32,32
Malaria,3,3,0,26,17,10
Murine Typhus,1,0,0,62,49,7
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,11,10,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,2,0,1,33,21,13
Measles,0,0,0,16,8,6
Melioidosis,2,5,0,39,41,24
Meningococcal Disease,0,0,0,4,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,1,0,NA,13,13,NA
Mumps,7,8,3,151,170,126
Pertussis,3,4,0,74,73,11
Pneumococcal Disease (Invasive),1,2,1,88,77,38
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,17,30,23
Acute Hepatitis C,0,0,0,17,9,9
Botulism,0,0,0,0,0,0
,,,,,,
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2501,2391,2121,,,NA
Acute Conjunctivitis,79,87,47,,,NA
Acute Diarrhoea,477,459,375,,,NA
Chickenpox,6,6,4,,,NA
"Hand, Foot And Mouth Disease",16,30,13,,,NA
HIV/STI/TB NOTIFICATIONS,2025,Jul,,Cumulative 2025,,
HIV/AIDS,16,,88,,,
Legally Notifiable STIs,411,,2176,,,
Tuberculosis,101,,613,,,
