"",E Week,22,,Cumulative first,22,Week
"",2025,2024,Median,2025,2024,Median
"",2020 -2024,2020 -2024,,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,0,38,15,14
Acute Hepatitis E,4,1,0,26,17,23
Campylobacteriosis,14,7,8,239,202,198
Cholera,0,0,0,2,0,0
Paratyphoid,1,1,0,9,12,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,39,38,32,522,602,551
Typhoid,0,1,1,21,22,23
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,9,5,5
Dengue Fever,117,312,312,2127,8002,8002
Dengue Haemorrhagic Fever,1,1,1,8,30,23
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,2,1,33,21,21
Malaria,2,0,0,12,9,7
Murine Typhus,0,3,0,50,26,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,5,7,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,1,0,18,10,9
Measles,1,0,0,11,8,5
Melioidosis,0,3,1,25,24,16
Meningococcal Disease,0,0,0,4,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,1,0,NA,7,8,NA
Mumps,6,5,3,106,112,88
Pertussis,1,2,0,45,38,6
Pneumococcal Disease (Invasive),4,2,0,58,57,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,15,16,16
Acute Hepatitis C,0,0,0,19,6,6
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2636,2592,1775,,,NA
Acute Conjunctivitis,74,71,36,,,NA
Acute Diarrhoea,417,354,311,,,NA
Chickenpox,7,7,3,,,NA
"Hand, Foot And Mouth Disease",37,35,18,,,NA
HIV/STI/TB NOTIFICATIONS,2025,Apr,,Cumulative 2025,,
HIV/AIDS,15,,53,,,
Legally Notifiable STIs,253,,1081,,,
Tuberculosis,82,,328,,,
