,E Week,29,,Cumulative first,29,Week
,2025*,2024,Median,2025*,2024,Median
,,,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,3,1,51,26,18
Acute Hepatitis E,0,1,1,32,21,27
Campylobacteriosis,8,6,11,312,275,285
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,10,13,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,25,32,35,709,828,773
Typhoid,0,1,1,31,30,30
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,16,7,7
Dengue Fever,86,236,236,2887,10078,10078
Dengue Haemorrhagic Fever,0,0,0,14,32,30
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,2,1,45,28,26
Malaria,0,0,0,17,11,8
Murine Typhus,2,0,0,58,35,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,11,9,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,2,1,0,30,17,11
Measles,0,0,0,14,8,6
Melioidosis,2,3,1,33,35,21
Meningococcal Disease,0,0,0,4,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,0,0,NA,10,10,NA
Mumps,4,8,5,129,145,112
Pertussis,4,2,0,60,59,11
Pneumococcal Disease (Invasive),1,2,1,77,67,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,2,1,16,24,20
Acute Hepatitis C,0,0,0,14,9,9
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2282,2719,2645,,,NA
Acute Conjunctivitis,85,78,48,,,NA
Acute Diarrhoea,461,458,367,,,NA
Chickenpox,6,7,5,,,NA
"Hand, Foot And Mouth Disease",20,41,17,,,NA
HIV/STI/TB NOTIFICATIONS,2025,Jun,,Cumulative 2025,,
HIV/AIDS,10,,72,,,
Legally Notifiable STIs,366,,1765,,,
Tuberculosis,91,,500,,,
