"",E Week49,"Cumulative first49Week",,,,
"",2024,2023,Median,2024,2023,Median
"",,2019 -2023,2019 -2023,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,51,41,25
Acute Hepatitis E,2,0,1,35,51,49
Campylobacteriosis,12,10,10,445,413,460
Cholera,0,0,0,4,0,2
Paratyphoid,0,0,0,15,8,10
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,32,25,25,1356,1192,1301
Typhoid,0,0,0,49,53,53
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,14,13,13
Dengue Fever,115,183,228,13331,9220,15137
Dengue Haemorrhagic Fever,0,0,1,44,10,44
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,1,2,1,60,59,33
Malaria,0,1,0,25,21,14
Murine Typhus,2,2,0,70,24,8
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,2,0,13,29,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,2,2
Legionellosis,0,2,0,31,27,22
Measles,0,0,0,11,6,6
Melioidosis,0,2,0,53,42,40
Meningococcal Disease,0,0,0,3,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,1,NA,17,30,NA
Mumps,4,3,3,225,170,183
Pertussis,7,2,0,108,19,11
Pneumococcal Disease (Invasive),2,2,2,115,128,55
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,2,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,45,29,29
Acute Hepatitis C,0,0,0,12,8,16
Botulism,0,0,0,0,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2450,3590,1989,,,NA
Acute Conjunctivitis,88,59,57,,,NA
Acute Diarrhoea,393,285,285,,,NA
Chickenpox,3,5,4,,,NA
"Hand, Foot And Mouth Disease",27,10,10,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Nov,,Cumulative 2024,,
HIV/AIDS,5,,129,,,
Legally Notifiable STIs,288,,3151,,,
Tuberculosis,110,,1062,,,
