"",E Week9,"Cumulative first9Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,1,1,8,9,6
Acute Hepatitis E,0,2,1,7,15,9
Campylobacteriosis,8,3,10,88,75,78
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,0,5,5,4
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,26,21,25,204,199,199
Typhoid,2,0,1,8,16,12
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,1,4,4
Dengue Fever,370,111,156,3791,1853,1761
Dengue Haemorrhagic Fever,2,0,1,11,2,7
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,0,0,15,10,6
Malaria,0,0,0,4,2,2
Murine Typhus,1,0,0,8,1,2
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,3,0,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,1,0,5,7,4
Measles,0,0,0,1,3,3
Melioidosis,0,0,0,4,4,8
Meningococcal Disease,0,0,0,0,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,3,2,NA
Mumps,4,2,3,47,31,43
Pertussis,2,0,0,16,2,2
Pneumococcal Disease (Invasive),6,1,1,26,24,24
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,7,6,6
Acute Hepatitis C,0,0,0,4,0,2
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2335,2535,2535,,,NA
Acute Conjunctivitis,75,77,63,,,NA
Acute Diarrhoea,368,345,345,,,NA
Chickenpox,7,4,4,,,NA
"Hand, Foot And Mouth Disease",25,29,11,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Feb,,Cumulative 2024,,
HIV/AIDS,10,,25,,,
Legally Notifiable STIs,244,,539,,,
Tuberculosis,102,,220,,,
