"",E Week12,"Cumulative first12Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,10,12,10
Acute Hepatitis E,0,1,1,8,19,14
Campylobacteriosis,11,6,9,109,105,106
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,0,5,5,4
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,23,15,25,257,250,258
Typhoid,3,2,1,11,19,18
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,2,4,4
Dengue Fever,319,128,128,4801,2249,2249
Dengue Haemorrhagic Fever,1,0,0,16,2,7
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,2,1,17,16,7
Malaria,0,1,1,5,3,3
Murine Typhus,2,0,0,10,2,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,4,0,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,7,7,4
Measles,1,0,0,2,3,3
Melioidosis,0,1,1,5,9,9
Meningococcal Disease,0,0,0,0,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,1,NA,6,3,NA
Mumps,4,5,4,60,40,47
Pertussis,0,0,0,22,2,2
Pneumococcal Disease (Invasive),4,4,2,32,31,27
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,1,8,7,8
Acute Hepatitis C,1,1,0,5,2,4
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2274,2769,2378,,,NA
Acute Conjunctivitis,68,85,46,,,NA
Acute Diarrhoea,376,387,370,,,NA
Chickenpox,7,5,5,,,NA
"Hand, Foot And Mouth Disease",25,22,6,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Feb,,Cumulative 2024,,
HIV/AIDS,10,,25,,,
Legally Notifiable STIs,244,,539,,,
Tuberculosis,102,,220,,,
