"",E Week23,"Cumulative first23Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,16,18,15
Acute Hepatitis E,0,0,1,16,28,24
Campylobacteriosis,10,7,14,208,191,207
Cholera,0,0,0,0,0,0
Paratyphoid,1,0,0,13,7,6
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,23,25,29,576,536,628
Typhoid,2,2,0,24,25,26
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,5,5,7
Dengue Fever,332,162,396,8334,3592,4679
Dengue Haemorrhagic Fever,1,0,0,31,2,23
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,2,0,22,27,14
Malaria,0,1,0,9,7,7
Murine Typhus,2,0,0,29,4,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,7,19,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,0,0,0,10,9,7
Measles,0,1,1,8,6,6
Melioidosis,2,0,1,26,16,16
Meningococcal Disease,0,0,0,1,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,8,6,NA
Mumps,6,2,2,121,80,90
Pertussis,5,1,0,43,7,7
Pneumococcal Disease (Invasive),1,1,0,58,57,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,0,18,18,18
Acute Hepatitis C,0,0,0,7,7,7
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2377,1913,1744,,,NA
Acute Conjunctivitis,68,50,33,,,NA
Acute Diarrhoea,383,294,294,,,NA
Chickenpox,4,4,4,,,NA
"Hand, Foot And Mouth Disease",25,24,14,,NA,
HIV/STI/TB NOTIFICATIONS,2024,May,,Cumulative 2024,,
HIV/AIDS,15,,67,,,
Legally Notifiable STIs,279,,1357,,,
Tuberculosis,99,,514,,,
