"",E Week35,"Cumulative first35Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,3,0,36,30,19
Acute Hepatitis E,0,0,0,24,40,30
Campylobacteriosis,4,11,10,332,287,332
Cholera,0,0,0,3,0,0
Paratyphoid,0,0,0,14,8,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,42,20,27,985,868,947
Typhoid,1,0,0,36,45,45
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,2,0,11,8,10
Dengue Fever,179,213,412,11458,6164,11088
Dengue Haemorrhagic Fever,0,0,1,35,4,37
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,1,2,0,33,44,22
Malaria,0,2,0,17,15,12
Murine Typhus,5,0,0,55,8,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,10,24,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,1,1,0,22,14,13
Measles,0,0,0,8,6,6
Melioidosis,0,2,1,41,26,24
Meningococcal Disease,0,0,0,1,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,14,7,NA
Mumps,4,4,4,176,115,128
Pertussis,2,2,0,75,15,11
Pneumococcal Disease (Invasive),2,2,1,79,89,38
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,29,24,24
Acute Hepatitis C,0,0,0,9,7,11
Botulism,1,1,0,1,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2285,2426,1998,,,NA
Acute Conjunctivitis,74,63,48,,,NA
Acute Diarrhoea,405,392,357,,,NA
Chickenpox,6,4,3,,,NA
"Hand, Foot And Mouth Disease",31,21,19,,NA,
HIV/STI/TB NOTIFICATIONS,2024,July,,Cumulative 2024,,
HIV/AIDS,15,,88,,,
Legally Notifiable STIs,302,,1946,,,
Tuberculosis,126,,709,,,
