"",E Week27,"Cumulative first27Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,1,1,22,22,16
Acute Hepatitis E,0,2,1,18,33,25
Campylobacteriosis,12,11,12,263,228,258
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,0,13,7,7
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,29,19,26,704,641,747
Typhoid,1,3,0,28,34,32
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,7,5,8
Dengue Fever,327,235,591,9551,4582,6656
Dengue Haemorrhagic Fever,0,0,0,32,2,29
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,1,0,26,33,16
Malaria,0,0,1,10,7,7
Murine Typhus,0,0,0,36,6,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,8,22,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,2,0,0,16,10,10
Measles,0,0,0,8,6,6
Melioidosis,2,1,1,30,21,21
Meningococcal Disease,0,0,0,1,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,10,6,NA
Mumps,1,9,6,137,96,102
Pertussis,1,0,0,53,10,10
Pneumococcal Disease (Invasive),0,2,1,64,69,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,22,19,19
Acute Hepatitis C,0,0,0,8,4,10
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2449,2211,2211,,,NA
Acute Conjunctivitis,74,63,48,,,NA
Acute Diarrhoea,454,403,382,,,NA
Chickenpox,6,5,3,,,NA
"Hand, Foot And Mouth Disease",34,21,21,,NA,
HIV/STI/TB NOTIFICATIONS,2024,June,,Cumulative 2024,,
HIV/AIDS,6,,73,,,
Legally Notifiable STIs,287,,1644,,,
Tuberculosis,93,,600,,,
