"",E Week25,"Cumulative first25Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,2,0,19,21,15
Acute Hepatitis E,0,2,0,17,31,24
Campylobacteriosis,12,15,9,235,211,240
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,0,13,7,7
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,27,28,31,629,596,693
Typhoid,1,2,0,27,30,30
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,5,5,7
Dengue Fever,296,214,430,8933,4076,5573
Dengue Haemorrhagic Fever,1,0,1,32,2,27
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,2,0,23,30,16
Malaria,0,0,0,10,7,7
Murine Typhus,4,2,0,34,6,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,7,21,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,0,0,0,12,9,9
Measles,0,0,0,8,6,6
Melioidosis,0,1,0,26,20,20
Meningococcal Disease,0,0,0,1,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,9,6,NA
Mumps,0,0,4,129,84,98
Pertussis,6,0,0,51,9,9
Pneumococcal Disease (Invasive),2,3,1,62,64,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,2,0,0,21,19,19
Acute Hepatitis C,0,1,0,7,4,8
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2279,1885,1885,,,NA
Acute Conjunctivitis,73,49,40,,,NA
Acute Diarrhoea,438,304,304,,,NA
Chickenpox,7,3,3,,,NA
"Hand, Foot And Mouth Disease",29,19,16,,NA,
HIV/STI/TB NOTIFICATIONS,2024,May,,Cumulative 2024,,
HIV/AIDS,15,,67,,,
Legally Notifiable STIs,279,,1357,,,
Tuberculosis,99,,514,,,
