"",E Week24,"Cumulative first24Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,0,17,19,15
Acute Hepatitis E,1,1,0,17,29,24
Campylobacteriosis,15,5,9,223,196,224
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,0,13,7,7
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,28,32,34,602,568,662
Typhoid,2,3,1,26,28,28
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,5,5,7
Dengue Fever,306,270,464,8640,3862,5143
Dengue Haemorrhagic Fever,0,0,1,31,2,25
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,1,1,22,28,15
Malaria,1,0,0,10,7,7
Murine Typhus,1,0,0,30,4,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,7,20,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,2,0,0,12,9,8
Measles,0,0,0,8,6,6
Melioidosis,0,3,0,26,19,19
Meningococcal Disease,0,0,0,1,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,9,6,NA
Mumps,8,4,5,129,84,94
Pertussis,2,2,0,45,9,9
Pneumococcal Disease (Invasive),2,4,0,60,61,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,18,19,19
Acute Hepatitis C,0,0,0,7,7,7
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2178,1832,1806,,,NA
Acute Conjunctivitis,67,46,40,,,NA
Acute Diarrhoea,390,295,295,,,NA
Chickenpox,5,4,4,,,NA
"Hand, Foot And Mouth Disease",25,19,15,,NA,
HIV/STI/TB NOTIFICATIONS,2024,May,,Cumulative 2024,,
HIV/AIDS,15,,67,,,
Legally Notifiable STIs,279,,1357,,,
Tuberculosis,99,,514,,,
