"",E Week18,"Cumulative first18Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,1,12,14,13
Acute Hepatitis E,0,2,1,10,25,18
Campylobacteriosis,8,13,13,166,151,151
Cholera,0,0,0,0,0,0
Paratyphoid,1,1,0,11,6,6
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,17,28,28,434,385,475
Typhoid,2,0,1,19,21,22
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,0,3,5,5
Dengue Fever,249,118,192,6791,2964,2964
Dengue Haemorrhagic Fever,1,0,0,25,2,11
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,1,1,18,20,11
Malaria,0,0,0,7,4,4
Murine Typhus,1,1,0,18,3,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,6,1,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,7,8,5
Measles,1,0,0,7,5,5
Melioidosis,2,1,1,10,15,15
Meningococcal Disease,0,0,0,0,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,8,6,NA
Mumps,6,4,6,91,58,70
Pertussis,1,2,0,31,4,4
Pneumococcal Disease (Invasive),3,2,1,51,51,32
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,2,2,0,11,14,14
Acute Hepatitis C,1,0,0,7,4,6
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2857,2779,1663,,,NA
Acute Conjunctivitis,76,65,45,,,NA
Acute Diarrhoea,426,341,380,,,NA
Chickenpox,7,3,3,,,NA
"Hand, Foot And Mouth Disease",34,22,9,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Apr,,Cumulative 2024,,
HIV/AIDS,12,,52,,,
Legally Notifiable STIs,261,,1078,,,
Tuberculosis,108,,435,,,
