"",E Week22,"Cumulative first22Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,15,18,14
Acute Hepatitis E,1,0,0,16,28,23
Campylobacteriosis,8,5,9,198,184,193
Cholera,2,0,0,2,0,0
Paratyphoid,1,0,0,12,7,6
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,38,44,32,553,511,584
Typhoid,1,0,1,22,23,26
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,5,5,5
Dengue Fever,312,111,400,8003,3430,4283
Dengue Haemorrhagic Fever,1,0,1,30,2,23
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,2,1,1,21,25,13
Malaria,0,0,0,9,6,7
Murine Typhus,3,0,0,27,4,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,5,0,7,18,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,0,0,10,9,7
Measles,0,0,0,8,5,5
Melioidosis,3,0,0,24,16,16
Meningococcal Disease,0,0,0,1,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,8,6,NA
Mumps,6,2,3,115,78,88
Pertussis,2,0,0,38,6,6
Pneumococcal Disease (Invasive),2,0,0,57,56,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,1,15,18,18
Acute Hepatitis C,0,0,0,7,7,7
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2592,2145,1775,,,NA
Acute Conjunctivitis,71,62,36,,,NA
Acute Diarrhoea,354,311,311,,,NA
Chickenpox,7,6,3,,,NA
"Hand, Foot And Mouth Disease",35,27,18,,NA,
HIV/STI/TB NOTIFICATIONS,2024,May,,Cumulative 2024,,
HIV/AIDS,15,,67,,,
Legally Notifiable STIs,279,,1357,,,
Tuberculosis,99,,514,,,
