"",E Week45,"Cumulative first45Week",,,,
"",2024,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,1,0,49,39,23
Acute Hepatitis E,0,2,1,30,46,46
Campylobacteriosis,4,15,14,414,373,419
Cholera,1,0,0,6,0,0
Paratyphoid,0,0,0,15,8,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,24,23,23,1245,1101,1187
Typhoid,1,0,0,46,52,52
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,14,11,12
Dengue Fever,112,156,294,12905,8582,13862
Dengue Haemorrhagic Fever,1,0,0,42,7,40
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,0,3,3,54,56,30
Malaria,0,0,0,23,20,13
Murine Typhus,0,0,0,64,17,7
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,12,27,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,1,0,0,29,18,17
Measles,0,0,0,10,6,6
Melioidosis,0,2,1,48,38,36
Meningococcal Disease,1,0,0,3,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,4,NA,16,26,NA
Mumps,4,5,3,213,152,170
Pertussis,1,0,0,89,16,11
Pneumococcal Disease (Invasive),4,0,1,105,119,48
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,2,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,0,44,27,27
Acute Hepatitis C,0,0,0,12,8,15
Botulism,0,0,0,0,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2467,2326,2294,,,NA
Acute Conjunctivitis,89,55,51,,,NA
Acute Diarrhoea,438,299,312,,,NA
Chickenpox,7,5,5,,,NA
"Hand, Foot And Mouth Disease",28,15,15,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Oct,,Cumulative 2024,,
HIV/AIDS,10,,124,,,
Legally Notifiable STIs,282,,2863,,,
Tuberculosis,104,,959,,,
