"",E Week46,"Cumulative first46Week",,,,
"",2024,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,2,50,40,25
Acute Hepatitis E,2,2,0,32,48,46
Campylobacteriosis,4,7,7,418,380,428
Cholera,0,0,0,4,0,2
Paratyphoid,0,0,0,15,8,9
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,35,15,20,1280,1116,1220
Typhoid,1,1,1,46,53,53
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,2,0,14,13,13
Dengue Fever,110,142,312,13015,8724,14234
Dengue Haemorrhagic Fever,1,1,1,43,8,43
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,1,0,0,55,56,30
Malaria,0,0,0,23,20,13
Murine Typhus,2,3,0,66,20,8
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,12,27,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,1,2,0,30,20,19
Measles,0,0,0,10,6,6
Melioidosis,0,0,1,48,38,36
Meningococcal Disease,0,0,0,3,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,2,NA,16,28,NA
Mumps,3,4,4,216,156,175
Pertussis,5,0,0,94,16,11
Pneumococcal Disease (Invasive),1,4,1,106,123,49
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,2,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,0,45,28,28
Acute Hepatitis C,0,0,1,12,8,16
Botulism,0,0,0,0,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2419,2500,2184,,,NA
Acute Conjunctivitis,84,60,46,,,NA
Acute Diarrhoea,409,317,342,,,NA
Chickenpox,3,5,4,,,NA
"Hand, Foot And Mouth Disease",24,12,12,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Oct,,Cumulative 2024,,
HIV/AIDS,10,,124,,,
Legally Notifiable STIs,282,,2863,,,
Tuberculosis,104,,959,,,
