"",E Week37,"Cumulative first37Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,40,33,21
Acute Hepatitis E,0,1,1,25,41,35
Campylobacteriosis,15,11,10,360,305,346
Cholera,0,0,0,3,0,0
Paratyphoid,0,0,0,15,8,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,23,24,24,1034,920,989
Typhoid,2,1,1,38,47,47
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,1,11,8,12
Dengue Fever,200,330,330,11847,6755,11728
Dengue Haemorrhagic Fever,2,0,0,38,4,38
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,0,0,0,33,48,22
Malaria,0,1,1,17,16,13
Murine Typhus,0,0,0,55,8,6
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,2,0,10,26,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,0,0,1,22,14,13
Measles,0,0,0,8,6,6
Melioidosis,1,1,0,43,30,28
Meningococcal Disease,0,0,0,1,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,2,NA,15,10,NA
Mumps,2,4,6,186,121,139
Pertussis,2,0,0,78,15,11
Pneumococcal Disease (Invasive),3,2,2,84,92,39
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,29,24,24
Acute Hepatitis C,0,0,0,9,7,11
Botulism,0,0,0,0,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2358,2289,2286,,,NA
Acute Conjunctivitis,76,53,51,,,NA
Acute Diarrhoea,481,372,372,,,NA
Chickenpox,4,4,4,,,NA
"Hand, Foot And Mouth Disease",22,17,17,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Aug,,Cumulative 2024,,
HIV/AIDS,13,,101,,,
Legally Notifiable STIs,313,,2259,,,
Tuberculosis,87,,782,,,
