"",E Week16,"Cumulative first16Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,0,11,14,12
Acute Hepatitis E,1,0,0,10,22,17
Campylobacteriosis,10,12,10,143,131,131
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,0,7,5,4
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,32,20,29,360,336,399
Typhoid,1,0,0,17,20,20
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,3,4,4
Dengue Fever,342,113,134,6210,2718,2718
Dengue Haemorrhagic Fever,1,0,0,22,2,9
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,1,0,18,19,10
Malaria,1,0,0,6,3,3
Murine Typhus,0,0,0,14,2,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,5,0,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,1,1,7,8,5
Measles,2,1,0,6,4,4
Melioidosis,1,2,0,7,13,13
Meningococcal Disease,0,0,0,0,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,8,4,NA
Mumps,12,2,4,83,53,58
Pertussis,3,0,0,29,2,2
Pneumococcal Disease (Invasive),2,4,1,45,46,31
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,2,2,8,12,12
Acute Hepatitis C,0,0,0,5,4,5
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2468,3025,1467,,,NA
Acute Conjunctivitis,65,82,43,,,NA
Acute Diarrhoea,382,371,408,,,NA
Chickenpox,5,6,4,,,NA
"Hand, Foot And Mouth Disease",16,22,9,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Mar,,Cumulative 2024,,
HIV/AIDS,15,,40,,,
Legally Notifiable STIs,278,,817,,,
Tuberculosis,108,,327,,,
