"",E Week48,"Cumulative first48Week",,,,
"",2024,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,50,41,25
Acute Hepatitis E,0,1,0,33,51,47
Campylobacteriosis,4,14,10,433,403,449
Cholera,0,0,0,4,0,2
Paratyphoid,0,0,0,16,8,10
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,24,23,28,1324,1167,1282
Typhoid,1,0,0,49,53,53
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,14,13,13
Dengue Fever,92,142,242,13216,9037,14857
Dengue Haemorrhagic Fever,0,2,0,44,10,43
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,3,1,1,59,57,32
Malaria,0,0,0,25,20,13
Murine Typhus,0,1,0,68,22,8
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,13,27,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,1,0,0,2,2
Legionellosis,0,2,1,31,25,22
Measles,0,0,0,11,6,6
Melioidosis,2,2,0,53,40,38
Meningococcal Disease,0,0,0,3,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,1,NA,16,29,NA
Mumps,1,6,4,221,167,182
Pertussis,3,0,0,101,17,11
Pneumococcal Disease (Invasive),4,2,1,113,126,52
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,2,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,45,29,29
Acute Hepatitis C,0,0,0,12,8,16
Botulism,0,0,0,0,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2323,2970,2009,,,NA
Acute Conjunctivitis,85,62,49,,,NA
Acute Diarrhoea,401,294,295,,,NA
Chickenpox,5,5,5,,,NA
"Hand, Foot And Mouth Disease",24,13,11,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Nov,,Cumulative 2024,,
HIV/AIDS,5,,129,,,
Legally Notifiable STIs,288,,3151,,,
Tuberculosis,110,,1062,,,
