"",E Week21,"Cumulative first21Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,2,0,14,18,13
Acute Hepatitis E,2,1,0,15,28,21
Campylobacteriosis,6,6,12,190,179,184
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,0,11,7,6
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,37,33,33,515,467,562
Typhoid,0,0,1,21,23,26
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,5,5,5
Dengue Fever,288,134,376,7691,3319,3883
Dengue Haemorrhagic Fever,1,0,1,29,2,22
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,1,0,19,24,13
Malaria,1,1,0,9,6,6
Murine Typhus,0,0,0,24,4,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,5,0,7,13,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,1,0,9,9,6
Measles,0,0,0,8,5,5
Melioidosis,4,1,1,21,16,16
Meningococcal Disease,0,0,0,1,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,8,6,NA
Mumps,6,3,3,109,76,85
Pertussis,2,0,0,36,6,6
Pneumococcal Disease (Invasive),1,1,1,55,56,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,1,14,18,18
Acute Hepatitis C,1,0,0,10,7,7
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,3116,2300,1889,,,NA
Acute Conjunctivitis,74,70,40,,,NA
Acute Diarrhoea,426,298,298,,,NA
Chickenpox,5,4,4,,,NA
"Hand, Foot And Mouth Disease",50,29,16,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Apr,,Cumulative 2024,,
HIV/AIDS,12,,52,,,
Legally Notifiable STIs,261,,1078,,,
Tuberculosis,108,,435,,,
