"",E Week31,"Cumulative first31Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,30,27,18
Acute Hepatitis E,1,2,1,23,37,28
Campylobacteriosis,10,7,7,304,258,292
Cholera,1,0,0,1,0,0
Paratyphoid,0,1,0,14,8,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,34,13,26,845,761,854
Typhoid,1,2,2,31,43,39
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,8,5,10
Dengue Fever,274,162,597,10661,5366,9159
Dengue Haemorrhagic Fever,0,0,2,34,3,32
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,2,1,1,30,41,19
Malaria,0,2,0,14,10,10
Murine Typhus,4,0,0,40,7,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,9,24,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,2,0,0,20,11,11
Measles,0,0,0,8,6,6
Melioidosis,1,2,1,36,24,24
Meningococcal Disease,0,1,0,1,2,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,10,7,NA
Mumps,4,2,2,155,105,118
Pertussis,4,2,0,64,13,11
Pneumococcal Disease (Invasive),2,3,1,73,79,36
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,1,26,21,21
Acute Hepatitis C,0,0,0,9,7,11
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2242,2476,2476,,,NA
Acute Conjunctivitis,79,65,46,,,NA
Acute Diarrhoea,458,355,355,,,NA
Chickenpox,7,5,4,,,NA
"Hand, Foot And Mouth Disease",39,19,19,,NA,
HIV/STI/TB NOTIFICATIONS,2024,July,,Cumulative 2024,,
HIV/AIDS,15,,88,,,
Legally Notifiable STIs,302,,1946,,,
Tuberculosis,126,,709,,,
