"",E Week44,"Cumulative first44Week",,,,
"",2024,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,1,49,38,23
Acute Hepatitis E,0,1,1,30,44,44
Campylobacteriosis,8,4,6,410,358,405
Cholera,1,0,0,5,0,0
Paratyphoid,0,0,0,15,8,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,22,25,26,1221,1078,1156
Typhoid,1,1,0,45,52,52
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,2,1,14,11,12
Dengue Fever,100,152,306,12795,8426,13541
Dengue Haemorrhagic Fever,0,0,0,41,7,40
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,0,0,1,54,53,28
Malaria,0,0,0,23,20,13
Murine Typhus,0,0,0,64,17,7
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,12,27,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,2,2,0,28,18,17
Measles,0,0,0,10,6,6
Melioidosis,0,1,1,48,36,34
Meningococcal Disease,0,0,0,2,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,1,NA,16,22,NA
Mumps,6,3,7,209,147,167
Pertussis,1,0,0,88,16,11
Pneumococcal Disease (Invasive),5,1,2,101,119,47
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,2,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,41,27,27
Acute Hepatitis C,0,0,0,12,8,14
Botulism,0,0,0,0,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2583,2442,2442,,,NA
Acute Conjunctivitis,93,59,51,,,NA
Acute Diarrhoea,414,324,327,,,NA
Chickenpox,6,8,4,,,NA
"Hand, Foot And Mouth Disease",36,14,14,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Oct,,Cumulative 2024,,
HIV/AIDS,13,,114,,,
Legally Notifiable STIs,322,,2581,,,
Tuberculosis,104,,959,,,
