"",E Week1,"Cumulative first1Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,0,1,2,0,1
Acute Hepatitis E,1,0,1,1,0,1
Campylobacteriosis,13,10,14,13,10,14
Cholera,0,0,0,0,0,0
Paratyphoid,0,1,0,0,1,0
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,21,13,22,21,13,22
Typhoid,1,1,1,1,1,1
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,1,0,1,1
Dengue Fever,305,279,205,305,279,205
Dengue Haemorrhagic Fever,0,0,0,0,0,0
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,2,0,0,2,0
Malaria,0,0,0,0,0,0
Murine Typhus,0,0,0,0,0,0
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,0,0,0
Measles,0,1,0,0,1,0
Melioidosis,0,0,0,0,0,0
Meningococcal Disease,0,0,0,0,0,0
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,2,NA,0,2,NA
Mumps,2,2,4,2,2,4
Pertussis,1,1,1,1,1,1
Pneumococcal Disease (Invasive),4,2,1,4,2,1
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,0,1,0,0
Acute Hepatitis C,3,0,0,3,0,0
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2549,2560,2560,,,NA
Acute Conjunctivitis,79,69,69,,,NA
Acute Diarrhoea,349,352,352,,,NA
Chickenpox,7,7,7,,,NA
"Hand, Foot And Mouth Disease",14,10,10,,NA,
HIV/STI/TB NOTIFICATIONS,2023,Dec,,Cumulative 2023,,
HIV/AIDS,8,,186,,,
Legally Notifiable STIs,315,,3708,,,
Tuberculosis,93,,1211,,,
