"",E Week29,"Cumulative first29Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,1,0,26,26,18
Acute Hepatitis E,1,0,1,19,34,27
Campylobacteriosis,11,6,12,285,243,278
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,0,13,7,7
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,36,46,35,773,721,815
Typhoid,1,1,0,30,40,32
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,7,5,10
Dengue Fever,236,200,644,10078,4990,7961
Dengue Haemorrhagic Fever,0,0,1,32,2,30
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,2,2,1,28,39,18
Malaria,0,0,0,11,8,8
Murine Typhus,0,0,0,36,6,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,9,23,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,1,1,0,17,11,11
Measles,0,0,0,8,6,6
Melioidosis,3,0,1,35,21,21
Meningococcal Disease,0,0,0,1,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,10,7,NA
Mumps,8,3,5,147,102,112
Pertussis,2,0,0,59,11,11
Pneumococcal Disease (Invasive),2,1,1,67,73,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,1,23,20,20
Acute Hepatitis C,0,1,0,9,6,10
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2719,2645,2645,,,NA
Acute Conjunctivitis,78,65,48,,,NA
Acute Diarrhoea,458,377,367,,,NA
Chickenpox,7,4,5,,,NA
"Hand, Foot And Mouth Disease",41,23,17,,NA,
HIV/STI/TB NOTIFICATIONS,2024,June,,Cumulative 2024,,
HIV/AIDS,6,,73,,,
Legally Notifiable STIs,287,,1644,,,
Tuberculosis,93,,600,,,
