"",E Week6,"Cumulative first6Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,1,1,6,7,5
Acute Hepatitis E,1,1,0,6,11,6
Campylobacteriosis,7,10,10,59,48,57
Cholera,0,0,0,0,0,0
Paratyphoid,1,0,0,5,4,2
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,17,34,30,132,142,142
Typhoid,0,3,1,5,13,10
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,0,2,2
Dengue Fever,514,218,168,2535,1456,1192
Dengue Haemorrhagic Fever,1,1,1,4,2,6
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,3,1,0,13,8,5
Malaria,0,0,0,4,2,2
Murine Typhus,1,0,0,4,1,2
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,2,0,0,3,0,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,2,1,4,3,3
Measles,0,0,0,1,2,2
Melioidosis,0,0,1,4,3,5
Meningococcal Disease,0,0,0,0,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,1,2,NA
Mumps,8,3,6,34,22,28
Pertussis,3,0,0,10,2,2
Pneumococcal Disease (Invasive),0,2,2,16,19,17
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,3,1,6,4,4
Acute Hepatitis C,0,0,0,3,0,2
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2558,2741,2741,,,NA
Acute Conjunctivitis,86,75,75,,,NA
Acute Diarrhoea,368,369,369,,,NA
Chickenpox,7,6,6,,,NA
"Hand, Foot And Mouth Disease",28,25,14,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Jan,,Cumulative 2024,,
HIV/AIDS,15,,15,,,
Legally Notifiable STIs,295,,295,,,
Tuberculosis,120,,120,,,
