"",E Week34,"Cumulative first34Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,0,0,34,27,19
Acute Hepatitis E,1,1,1,24,40,28
Campylobacteriosis,9,8,8,328,276,325
Cholera,1,0,0,3,0,0
Paratyphoid,0,0,0,14,8,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,31,22,35,943,848,908
Typhoid,0,1,1,35,45,45
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,11,6,10
Dengue Fever,186,197,474,11280,5951,10676
Dengue Haemorrhagic Fever,0,1,1,35,4,33
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,1,0,1,32,42,22
Malaria,3,0,0,17,13,10
Murine Typhus,0,1,0,50,8,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,10,24,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,0,2,1,21,13,13
Measles,0,0,0,8,6,6
Melioidosis,5,0,0,41,24,24
Meningococcal Disease,0,0,0,1,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,13,7,NA
Mumps,8,3,3,172,111,126
Pertussis,4,0,0,73,13,11
Pneumococcal Disease (Invasive),2,1,1,77,87,38
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,29,23,23
Acute Hepatitis C,0,0,0,9,7,11
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2391,2452,2121,,,NA
Acute Conjunctivitis,87,70,47,,,NA
Acute Diarrhoea,459,375,375,,,NA
Chickenpox,6,6,4,,,NA
"Hand, Foot And Mouth Disease",30,13,13,,NA,
HIV/STI/TB NOTIFICATIONS,2024,July,,Cumulative 2024,,
HIV/AIDS,15,,88,,,
Legally Notifiable STIs,302,,1946,,,
Tuberculosis,126,,709,,,
