"",E Week19,"Cumulative first19Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,1,0,12,15,13
Acute Hepatitis E,3,0,1,13,25,18
Campylobacteriosis,6,8,8,172,159,161
Cholera,1,0,0,1,0,0
Paratyphoid,0,1,0,11,7,6
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,21,23,24,455,408,499
Typhoid,0,1,1,19,22,24
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,4,5,5
Dengue Fever,324,100,287,7113,3064,3200
Dengue Haemorrhagic Fever,3,0,0,28,2,15
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,1,1,19,21,13
Malaria,0,0,0,7,4,4
Murine Typhus,6,1,0,24,4,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,2,0,6,3,3
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,7,8,5
Measles,0,0,0,7,5,5
Melioidosis,4,0,0,14,15,15
Meningococcal Disease,1,0,0,1,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,8,6,NA
Mumps,7,11,7,98,69,76
Pertussis,2,2,0,33,6,6
Pneumococcal Disease (Invasive),1,2,2,52,53,33
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,2,1,11,16,16
Acute Hepatitis C,2,3,2,9,7,7
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2821,2548,1708,,,NA
Acute Conjunctivitis,69,57,49,,,NA
Acute Diarrhoea,387,329,394,,,NA
Chickenpox,8,4,4,,,NA
"Hand, Foot And Mouth Disease",33,29,13,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Apr,,Cumulative 2024,,
HIV/AIDS,12,,52,,,
Legally Notifiable STIs,261,,1078,,,
Tuberculosis,108,,435,,,
