"",E Week38,"Cumulative first38Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,1,41,34,22
Acute Hepatitis E,4,0,0,29,41,36
Campylobacteriosis,7,12,9,367,317,355
Cholera,0,0,0,3,0,0
Paratyphoid,0,0,0,15,8,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,38,20,20,1072,940,1008
Typhoid,0,0,0,38,47,47
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,12,8,12
Dengue Fever,182,302,302,12029,7057,12027
Dengue Haemorrhagic Fever,0,0,0,38,4,38
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,1,0,0,34,48,22
Malaria,1,0,0,18,16,13
Murine Typhus,0,0,0,55,8,6
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,10,26,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,2,0,0,24,14,13
Measles,0,0,0,8,6,6
Melioidosis,1,0,0,44,30,28
Meningococcal Disease,0,0,0,1,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,2,NA,15,12,NA
Mumps,1,4,7,187,125,147
Pertussis,1,0,0,79,15,11
Pneumococcal Disease (Invasive),0,5,1,84,97,39
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,3,1,1,32,25,25
Acute Hepatitis C,0,0,1,9,7,12
Botulism,0,0,0,0,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2421,2336,2336,,,NA
Acute Conjunctivitis,90,61,50,,,NA
Acute Diarrhoea,452,378,378,,,NA
Chickenpox,5,5,5,,,NA
"Hand, Foot And Mouth Disease",26,9,9,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Aug,,Cumulative 2024,,
HIV/AIDS,13,,101,,,
Legally Notifiable STIs,313,,2259,,,
Tuberculosis,87,,782,,,
