"",E Week11,"Cumulative first11Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,3,1,10,12,8
Acute Hepatitis E,0,1,1,8,18,13
Campylobacteriosis,7,8,8,99,99,99
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,0,5,5,4
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,21,14,32,234,235,235
Typhoid,0,0,0,8,17,16
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,2,4,4
Dengue Fever,331,149,149,4484,2121,2121
Dengue Haemorrhagic Fever,2,0,0,15,2,7
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,1,0,17,14,6
Malaria,0,0,0,5,2,2
Murine Typhus,0,0,0,8,2,2
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,4,0,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,7,7,4
Measles,0,0,0,1,3,3
Melioidosis,0,3,1,5,8,8
Meningococcal Disease,0,0,0,0,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,6,2,NA
Mumps,6,3,3,56,35,45
Pertussis,3,0,0,22,2,2
Pneumococcal Disease (Invasive),1,1,0,28,27,26
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,1,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,8,6,7
Acute Hepatitis C,0,0,0,4,1,4
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2134,2592,2288,,,NA
Acute Conjunctivitis,74,79,56,,,NA
Acute Diarrhoea,335,324,326,,,NA
Chickenpox,6,4,4,,,NA
"Hand, Foot And Mouth Disease",28,24,8,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Feb,,Cumulative 2024,,
HIV/AIDS,10,,25,,,
Legally Notifiable STIs,244,,539,,,
Tuberculosis,102,,220,,,
