"",E Week51,"Cumulative first51Week",,,,
"",2024,2023,Median,2024,2023,Median
"",,2019 -2023,2019 -2023,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,51,41,26
Acute Hepatitis E,1,0,1,37,52,49
Campylobacteriosis,7,13,11,459,431,480
Cholera,0,0,0,4,0,2
Paratyphoid,0,0,0,15,9,10
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,18,27,27,1398,1247,1340
Typhoid,1,0,0,52,54,54
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,14,13,13
Dengue Fever,104,234,236,13537,9664,15620
Dengue Haemorrhagic Fever,0,0,0,44,10,45
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,1,1,62,61,36
Malaria,0,1,0,25,23,15
Murine Typhus,4,0,0,74,24,8
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,13,30,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,2,2
Legionellosis,0,0,0,31,27,23
Measles,0,1,0,11,7,7
Melioidosis,1,1,1,55,44,42
Meningococcal Disease,0,0,0,4,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,17,31,NA
Mumps,6,7,4,233,179,189
Pertussis,3,3,0,117,20,11
Pneumococcal Disease (Invasive),3,3,3,121,138,58
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,2,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,45,31,30
Acute Hepatitis C,0,0,0,13,8,17
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2266,2853,2168,,,NA
Acute Conjunctivitis,88,65,61,,,NA
Acute Diarrhoea,402,272,281,,,NA
Chickenpox,5,7,6,,,NA
"Hand, Foot And Mouth Disease",22,13,11,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Nov,,Cumulative 2024,,
HIV/AIDS,5,,129,,,
Legally Notifiable STIs,288,,3151,,,
Tuberculosis,110,,1062,,,
