"",E Week4,"Cumulative first4Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,3,1,3,6,5
Acute Hepatitis E,0,3,1,5,9,4
Campylobacteriosis,8,4,10,40,28,42
Cholera,0,0,0,0,0,0
Paratyphoid,2,0,0,3,3,2
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,20,22,22,89,92,92
Typhoid,0,2,2,3,8,8
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,0,1,1
Dengue Fever,432,186,186,1541,1015,878
Dengue Haemorrhagic Fever,1,0,1,1,1,4
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,4,1,1,10,7,5
Malaria,0,1,0,4,1,1
Murine Typhus,0,0,0,2,1,1
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,1,0,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,0,0,4,0,1
Measles,1,0,0,1,2,2
Melioidosis,0,1,1,3,2,4
Meningococcal Disease,0,1,1,0,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,0,2,NA
Mumps,5,3,5,23,14,21
Pertussis,2,0,0,7,2,2
Pneumococcal Disease (Invasive),2,6,2,11,13,7
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,3,1,2
Acute Hepatitis C,2,0,0,4,0,2
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2654,2805,2805,,,NA
Acute Conjunctivitis,81,66,66,,,NA
Acute Diarrhoea,381,409,409,,,NA
Chickenpox,7,5,5,,,NA
"Hand, Foot And Mouth Disease",24,21,12,,NA,
HIV/STI/TB NOTIFICATIONS,2023,Dec,,Cumulative 2023,,
HIV/AIDS,8,,186,,,
Legally Notifiable STIs,315,,3708,,,
Tuberculosis,93,,1211,,,
