"",E Week39,"Cumulative first39Week",,,,
"",2024*,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,0,1,43,34,23
Acute Hepatitis E,0,0,1,26,41,37
Campylobacteriosis,3,11,8,370,328,361
Cholera,0,0,0,3,0,0
Paratyphoid,0,0,0,15,8,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,25,24,25,1092,964,1033
Typhoid,2,0,1,40,47,47
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,13,8,12
Dengue Fever,151,340,340,12180,7397,12285
Dengue Haemorrhagic Fever,1,2,1,39,6,38
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,2,0,0,36,48,22
Malaria,1,1,0,19,17,13
Murine Typhus,0,0,0,55,8,7
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,11,26,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,1,0,0,25,14,13
Measles,0,0,0,8,6,6
Melioidosis,0,1,1,44,31,29
Meningococcal Disease,0,0,0,1,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,15,12,NA
Mumps,2,5,5,189,130,150
Pertussis,1,0,0,80,15,11
Pneumococcal Disease (Invasive),1,4,1,85,101,39
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,3,1,1,38,26,26
Acute Hepatitis C,0,0,0,10,7,13
Botulism,0,0,0,0,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2142,2417,2417,,,NA
Acute Conjunctivitis,79,59,51,,,NA
Acute Diarrhoea,437,374,349,,,NA
Chickenpox,5,6,5,,,NA
"Hand, Foot And Mouth Disease",18,15,15,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Aug,,Cumulative 2024,,
HIV/AIDS,13,,101,,,
Legally Notifiable STIs,313,,2259,,,
Tuberculosis,87,,782,,,
