"",E Week43,"Cumulative first43Week",,,,
"",2024,2023,Median,2024,2023,Median
"",,,2019 -2023,2019 -2023,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,0,1,48,37,23
Acute Hepatitis E,1,1,1,31,43,41
Campylobacteriosis,11,6,6,402,354,393
Cholera,0,0,0,4,0,0
Paratyphoid,0,0,0,15,8,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,32,22,22,1199,1053,1130
Typhoid,2,0,0,44,51,51
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,14,9,12
Dengue Fever,118,191,241,12695,8274,13235
Dengue Haemorrhagic Fever,0,0,1,41,7,39
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,4,1,1,53,53,27
Malaria,1,0,0,23,20,13
Murine Typhus,4,3,0,64,17,7
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,12,26,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,1,0,0,1,1
Legionellosis,0,2,0,26,16,15
Measles,0,0,0,10,6,6
Melioidosis,1,1,1,48,35,33
Meningococcal Disease,0,0,0,2,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,4,NA,16,21,NA
Mumps,6,5,5,203,144,164
Pertussis,1,0,0,87,16,11
Pneumococcal Disease (Invasive),6,4,1,96,118,45
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,1,0,0,2,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,41,27,27
Acute Hepatitis C,0,0,0,11,8,13
Botulism,0,0,0,0,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2626,2396,2396,,,NA
Acute Conjunctivitis,90,59,56,,,NA
Acute Diarrhoea,428,363,363,,,NA
Chickenpox,5,8,5,,,NA
"Hand, Foot And Mouth Disease",25,14,13,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Sep,,Cumulative 2024,,
HIV/AIDS,13,,114,,,
Legally Notifiable STIs,322,,2581,,,
Tuberculosis,93,,867,,,
