"",E Week17,"Cumulative first17Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,1,0,29,11,11
Acute Hepatitis E,2,0,0,16,10,17
Campylobacteriosis,14,15,13,180,158,158
Cholera,0,0,0,2,0,0
Paratyphoid,0,3,0,8,10,5
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,19,57,29,378,417,417
Typhoid,1,0,1,18,17,17
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,3,0,0,9,3,3
Dengue Fever,107,335,335,1599,6542,6177
Dengue Haemorrhagic Fever,0,2,1,3,24,10
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,6,0,0,26,18,13
Malaria,0,1,0,10,7,4
Murine Typhus,0,3,0,38,16,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,4,6,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,14,7,5
Measles,1,0,0,8,6,5
Melioidosis,2,1,1,20,8,11
Meningococcal Disease,1,0,0,3,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,5,8,NA
Mumps,5,1,2,81,84,63
Pertussis,0,1,0,33,30,2
Pneumococcal Disease (Invasive),1,3,1,42,48,32
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,2,0,12,10,12
Acute Hepatitis C,0,0,0,15,5,5
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2781,2590,1431,,,NA
Acute Conjunctivitis,92,65,45,,,NA
Acute Diarrhoea,443,381,381,,,NA
Chickenpox,8,6,5,,,NA
"Hand, Foot And Mouth Disease",51,22,11,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Mar,,Cumulative 2025,,
HIV/AIDS,12,,38,,,
Legally Notifiable STIs,262,,828,,,
Tuberculosis,91,,247,,,
