"",E Week21,"Cumulative first21Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,4,2,0,37,14,13
Acute Hepatitis E,1,2,1,22,15,21
Campylobacteriosis,5,6,6,226,190,190
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,8,11,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,27,41,33,485,564,513
Typhoid,1,0,0,21,21,23
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,9,5,5
Dengue Fever,116,287,287,2010,7690,7690
Dengue Haemorrhagic Fever,2,1,1,7,29,22
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,2,0,0,32,19,18
Malaria,0,1,1,10,9,6
Murine Typhus,0,0,0,50,23,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,4,7,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,1,0,17,9,9
Measles,0,0,0,10,8,5
Melioidosis,2,4,1,25,21,16
Meningococcal Disease,0,0,0,4,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,6,8,NA
Mumps,7,6,3,100,107,85
Pertussis,2,2,0,44,36,6
Pneumococcal Disease (Invasive),3,1,1,54,55,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,2,1,15,15,15
Acute Hepatitis C,0,0,0,20,6,6
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2856,3116,1889,,,NA
Acute Conjunctivitis,95,74,40,,,NA
Acute Diarrhoea,445,426,298,,,NA
Chickenpox,6,5,4,,,NA
"Hand, Foot And Mouth Disease",47,50,16,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Apr,,Cumulative 2025,,
HIV/AIDS,15,,53,,,
Legally Notifiable STIs,253,,1081,,,
Tuberculosis,82,,328,,,
