"",E Week20,"Cumulative first20Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,33,12,12
Acute Hepatitis E,0,1,1,21,13,20
Campylobacteriosis,16,12,13,223,184,184
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,8,11,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,21,23,26,458,478,478
Typhoid,0,2,1,20,21,23
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,0,9,5,5
Dengue Fever,102,291,291,1894,7403,7403
Dengue Haemorrhagic Fever,1,0,2,5,28,18
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,0,1,30,19,14
Malaria,0,1,0,10,8,5
Murine Typhus,5,0,0,50,23,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,4,7,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,1,1,17,8,8
Measles,0,1,0,10,8,5
Melioidosis,2,3,0,23,17,15
Meningococcal Disease,1,0,0,4,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,5,8,NA
Mumps,7,4,4,93,101,82
Pertussis,0,1,0,42,34,6
Pneumococcal Disease (Invasive),3,2,1,51,54,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,1,14,13,14
Acute Hepatitis C,3,0,0,20,6,6
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2828,2883,1975,,,NA
Acute Conjunctivitis,83,66,42,,,NA
Acute Diarrhoea,426,399,346,,,NA
Chickenpox,6,7,3,,,NA
"Hand, Foot And Mouth Disease",52,43,10,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Apr,,Cumulative 2025,,
HIV/AIDS,15,,53,,,
Legally Notifiable STIs,253,,1081,,,
Tuberculosis,82,,328,,,
