"",E Week6,"Cumulative first6Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,2,1,14,6,5
Acute Hepatitis E,1,1,1,4,6,6
Campylobacteriosis,13,7,10,69,59,59
Cholera,0,0,0,2,0,0
Paratyphoid,0,1,0,3,5,2
Poliomyelitis,1,0,0,1,0,0
Salmonellosis,34,17,23,133,132,132
Typhoid,0,0,0,6,5,8
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,1,0,0
Dengue Fever,112,514,218,597,2535,1456
Dengue Haemorrhagic Fever,1,1,1,3,4,4
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,2,3,1,9,13,5
Malaria,0,0,0,6,4,2
Murine Typhus,0,1,1,16,4,2
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,2,0,2,3,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,0,0,4,4,3
Measles,0,0,0,2,1,1
Melioidosis,1,0,1,8,4,5
Meningococcal Disease,1,0,0,1,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox#,0,1,NA,2,1,NA
Mumps,4,8,7,26,34,28
Pertussis,1,3,0,16,10,2
Pneumococcal Disease (Invasive),3,0,0,21,16,16
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,1,6,6,4
Acute Hepatitis C,0,0,0,6,2,2
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,3381,2558,2645,,,NA
Acute Conjunctivitis,111,86,75,,,NA
Acute Diarrhoea,468,368,368,,,NA
Chickenpox,7,7,6,,,NA
"Hand, Foot And Mouth Disease",32,28,14,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Jan,,Cumulative 2025,,
HIV/AIDS,8,,8,,,
Legally Notifiable STIs,260,,260,,,
Tuberculosis,75,,75,,,
