"",E Week16,"Cumulative first16Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,26,10,10
Acute Hepatitis E,1,1,0,14,10,17
Campylobacteriosis,9,10,10,166,143,143
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,8,7,5
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,23,32,29,361,360,360
Typhoid,1,1,1,17,17,17
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,6,3,3
Dengue Fever,93,340,340,1491,6207,5647
Dengue Haemorrhagic Fever,0,1,0,3,22,9
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,1,1,20,18,12
Malaria,0,1,0,10,6,3
Murine Typhus,2,0,0,38,13,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,4,5,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,14,7,5
Measles,0,2,0,7,6,4
Melioidosis,1,1,1,18,7,11
Meningococcal Disease,0,0,0,2,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,1,NA,5,8,NA
Mumps,5,12,4,76,83,58
Pertussis,0,3,0,33,29,2
Pneumococcal Disease (Invasive),0,2,1,41,45,31
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,1,12,8,11
Acute Hepatitis C,0,0,0,15,5,5
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2749,2468,1467,,,NA
Acute Conjunctivitis,97,65,43,,,NA
Acute Diarrhoea,461,382,382,,,NA
Chickenpox,6,5,4,,,NA
"Hand, Foot And Mouth Disease",53,16,9,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Mar,,Cumulative 2025,,
HIV/AIDS,12,,38,,,
Legally Notifiable STIs,262,,828,,,
Tuberculosis,91,,247,,,
