"",E Week8,"Cumulative first8Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,2020 -2024,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,1,17,8,5
Acute Hepatitis E,2,0,0,5,7,9
Campylobacteriosis,11,14,12,89,80,80
Cholera,0,0,0,2,0,0
Paratyphoid,2,0,0,6,5,3
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,19,20,20,179,178,178
Typhoid,1,0,0,7,6,8
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,2,0,0
Dengue Fever,71,459,200,781,3420,1742
Dengue Haemorrhagic Fever,0,1,1,3,9,7
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,0,1,12,15,6
Malaria,0,0,0,6,4,2
Murine Typhus,10,1,0,26,7,2
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,3,3,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,0,0,6,4,4
Measles,0,0,0,2,1,1
Melioidosis,0,0,1,9,4,7
Meningococcal Disease,0,0,0,1,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,4,2,NA
Mumps,4,4,5,32,43,40
Pertussis,2,3,0,21,14,2
Pneumococcal Disease (Invasive),3,4,1,28,20,20
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,0,7,7,5
Acute Hepatitis C,0,0,0,7,2,2
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2749,2446,2694,,,NA
Acute Conjunctivitis,109,78,76,,,NA
Acute Diarrhoea,451,390,385,,,NA
Chickenpox,5,5,5,,,NA
"Hand, Foot And Mouth Disease",31,28,11,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Jan,,Cumulative 2025,,
HIV/AIDS,8,,8,,,
Legally Notifiable STIs,260,,260,,,
Tuberculosis,75,,75,,,
