"",E Week45,"Cumulative first45Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,39,18,18
Acute Hepatitis E,2,0,1,46,31,46
Campylobacteriosis,15,6,11,373,517,419
Cholera,0,0,0,0,7,2
Paratyphoid,0,0,0,8,8,9
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,23,28,31,1101,1113,1345
Typhoid,0,2,0,52,66,38
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,0,11,24,12
Dengue Fever,157,294,294,8586,30141,13862
Dengue Haemorrhagic Fever,0,0,0,7,40,40
Japanese Encephalitis,0,0,0,0,0,7
Leptospirosis,3,3,2,56,43,30
Malaria,0,0,0,20,12,13
Murine Typhus,0,0,0,17,7,7
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,27,2,2
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,1,2,2
Legionellosis,0,0,1,17,26,18
Measles,0,0,0,6,3,12
Melioidosis,2,1,1,36,30,33
Meningococcal Disease,0,0,0,3,3,6
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",4,0,NA,26,19,NA
Mumps,5,2,3,152,152,248
Pertussis,0,0,0,14,0,11
Pneumococcal Disease (Invasive),0,1,1,120,48,48
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,27,26,32
Acute Hepatitis C,0,0,0,13,16,15
Botulism,0,0,0,0,0,1
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2326,2294,2294,,,NA
Acute Conjunctivitis,55,51,51,,,NA
Acute Diarrhoea,299,393,393,,,NA
Chickenpox,5,4,5,,,NA
"Hand, Foot And Mouth Disease",15,16,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,OCT,,Cumulative 2023,,
HIV/AIDS,11,,162,,,
Legally Notifiable STIs,279,,3059,,,
Tuberculosis,106,,1028,,,
