"",E Week4,"Cumulative first4Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,0,0,6,1,3
Acute Hepatitis E,5,1,1,11,4,4
Campylobacteriosis,4,17,10,28,66,42
Cholera,0,0,0,0,0,0
Paratyphoid,0,0,1,3,0,2
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,22,15,23,92,73,102
Typhoid,2,1,2,8,5,5
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,1,0,0
Dengue Fever,186,169,169,1018,599,645
Dengue Haemorrhagic Fever,0,2,1,1,4,4
Japanese Encephalitis^,0,0,0,0,0,1
Leptospirosis^,1,2,1,7,5,2
Malaria,1,0,0,1,0,3
Murine Typhus^,0,0,0,1,2,1
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,0,2,1
Measles,0,0,0,2,0,4
Melioidosis,1,2,1,2,4,4
Meningococcal Disease,1,1,1,1,1,1
Monkeypox,0,0,NA,2,0,NA
Mumps,3,1,6,14,4,33
Pertussis,0,0,0,2,0,2
Pneumococcal Disease (invasive),6,0,0,13,3,7
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,1,1,1,1,2,4
Acute hepatitis C,0,0,0,0,2,2
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,8,1,NA,44,1,NA
Other patients tested,1,0,NA,16,0,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,2805,1911,3408,,,
Acute conjunctivitis,66,41,91,,,
Acute Diarrhoea,409,317,601,,,
Chickenpox,5,1,13,,,
"Hand, Foot And Mouth Disease",21,4,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2022,Dec,,Cumulative 2022,,
HIV/AIDS,15,,189,,,
Legally Notifiable STIs*,299,,3822,,,
Tuberculosis,107,,1256,,,
