"",E Week22,"Cumulative first22Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,1,18,5,5
Acute Hepatitis E,0,0,0,28,11,23
Campylobacteriosis,5,18,9,184,355,193
Cholera,0,0,0,0,7,1
Paratyphoid,0,0,0,7,5,6
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,44,22,32,511,584,659
Typhoid,0,3,1,23,33,26
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,2,0,5,5,5
Dengue Fever,112,1451,400,3434,13092,4283
Dengue Haemorrhagic Fever,0,3,1,2,25,23
Japanese Encephalitis^,0,0,0,0,0,3
Leptospirosis^,1,3,1,25,21,13
Malaria,0,2,0,6,7,7
Murine Typhus^,0,1,0,4,5,3
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,5,0,0,18,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,0,1,0,9,10,7
Measles,0,0,0,5,0,10
Melioidosis,0,0,0,16,13,13
Meningococcal Disease,0,0,0,1,1,2
Mpox,0,0,NA,6,0,NA
Mumps,2,3,4,78,46,123
Pertussis,0,0,0,6,0,11
Pneumococcal Disease (invasive),0,1,1,56,18,34
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,0,0,1,18,15,19
Acute hepatitis C,1,0,0,8,10,8
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,0,0,NA,131,1,NA
Other patients tested,0,0,NA,69,4,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,2145,1650,1650,,,
Acute conjunctivitis,62,32,36,,,
Acute Diarrhoea,311,340,340,,,
Chickenpox,6,3,3,,,
"Hand, Foot And Mouth Disease",27,18,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,MAY,,Cumulative 2023,,
HIV/AIDS,23,,94,,,
Legally Notifiable STIs*,335,,1627,,,
Tuberculosis,107,,514,,,
