"",E Week37,"Cumulative first37Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,33,14,14
Acute Hepatitis E,1,0,2,41,24,35
Campylobacteriosis,12,4,10,306,470,346
Cholera,0,0,0,0,7,2
Paratyphoid,0,0,0,8,7,9
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,24,18,29,920,989,1134
Typhoid,1,1,0,47,60,30
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,1,8,16,12
Dengue Fever,330,544,314,6754,27173,11728
Dengue Haemorrhagic Fever,0,0,0,4,38,38
Japanese Encephalitis,0,0,0,0,0,6
Leptospirosis,0,0,0,48,36,22
Malaria,1,1,0,16,11,13
Murine Typhus,0,0,0,8,7,6
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,2,0,0,26,1,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,0,2,1,13,17,14
Measles,0,0,0,6,2,10
Melioidosis,1,1,0,28,22,22
Meningococcal Disease,0,0,0,3,2,5
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",2,0,NA,10,19,NA
Mumps,4,3,7,121,116,203
Pertussis,0,0,0,13,0,11
Pneumococcal Disease (Invasive),2,1,2,93,36,39
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,24,22,29
Acute Hepatitis C,0,1,0,12,14,11
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2289,2500,2286,,,NA
Acute Conjunctivitis,53,51,51,,,NA
Acute Diarrhoea,372,394,394,,,NA
Chickenpox,4,4,4,,,NA
"Hand, Foot And Mouth Disease",17,23,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,AUGUST,,Cumulative 2023,,
HIV/AIDS,11,,136,,,
Legally Notifiable STIs,247,,2467,,,
Tuberculosis,126,,829,,,
