"",E Week33,"Cumulative first33Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,2,1,27,14,14
Acute Hepatitis E,1,0,0,38,20,28
Campylobacteriosis,5,6,17,268,458,316
Cholera,0,0,0,0,7,1
Paratyphoid,0,0,0,8,6,8
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,31,17,27,826,882,1004
Typhoid,1,1,1,44,50,27
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,6,14,10
Dengue Fever,193,679,522,5756,24822,10202
Dengue Haemorrhagic Fever,0,0,1,3,32,32
Japanese Encephalitis,0,0,0,0,0,5
Leptospirosis,1,1,0,42,32,21
Malaria,3,0,0,13,9,10
Murine Typhus,0,1,0,7,7,5
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,24,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,0,0,0,11,13,12
Measles,0,0,0,6,2,10
Melioidosis,0,0,0,24,18,20
Meningococcal Disease,0,0,0,3,2,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,1,NA,7,16,NA
Mumps,2,2,6,108,102,185
Pertussis,0,0,0,13,0,11
Pneumococcal Disease (Invasive),5,4,2,86,31,37
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,1,0,22,21,25
Acute Hepatitis C,0,0,0,11,11,11
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2377,2326,2326,,,NA
Acute Conjunctivitis,70,43,46,,,NA
Acute Diarrhoea,361,395,395,,,NA
Chickenpox,5,4,4,,,NA
"Hand, Foot And Mouth Disease",16,26,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,JULY,,Cumulative 2023,,
HIV/AIDS,21,,125,,,
Legally Notifiable STIs,286,,2220,,,
Tuberculosis,112,,708,,,
