"",E Week42,"Cumulative first42Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,2,0,37,16,16
Acute Hepatitis E,0,1,0,42,28,39
Campylobacteriosis,6,5,10,348,498,389
Cholera,0,0,0,0,7,2
Paratyphoid,0,0,0,8,7,9
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,23,19,23,1031,1048,1266
Typhoid,0,0,0,51,61,35
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,9,20,12
Dengue Fever,209,373,239,8087,29217,12994
Dengue Haemorrhagic Fever,1,0,0,8,38,38
Japanese Encephalitis,0,0,0,0,0,7
Leptospirosis,1,1,1,52,38,24
Malaria,1,0,0,20,11,13
Murine Typhus,0,0,0,14,7,7
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,26,1,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,2,2
Legionellosis,0,2,0,13,24,16
Measles,0,0,0,6,2,12
Melioidosis,0,2,1,32,24,27
Meningococcal Disease,0,0,0,3,3,6
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox#,1,0,NA,17,19,NA
Mumps,3,4,7,139,139,229
Pertussis,0,0,0,14,0,11
Pneumococcal Disease (Invasive),5,4,1,115,45,45
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,0,27,25,31
Acute Hepatitis C,0,0,0,14,16,13
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2446,3342,2904,,,NA
Acute Conjunctivitis,56,46,50,,,NA
Acute Diarrhoea,351,328,336,,,NA
Chickenpox,5,3,5,,,NA
"Hand, Foot And Mouth Disease",13,16,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,SEP,,Cumulative 2023,,
HIV/AIDS,15,,151,,,
Legally Notifiable STIs,313,,2780,,,
Tuberculosis,104,,930,,,
