"",E Week47,"Cumulative first47Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,2,1,41,22,22
Acute Hepatitis E,2,2,1,50,33,47
Campylobacteriosis,9,12,11,389,536,439
Cholera,0,0,0,0,7,2
Paratyphoid,0,1,1,8,10,10
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,28,27,31,1144,1170,1384
Typhoid,0,2,1,53,68,40
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,13,26,12
Dengue Fever,168,265,258,8891,30718,14562
Dengue Haemorrhagic Fever,0,0,0,8,43,43
Japanese Encephalitis,0,0,0,0,0,8
Leptospirosis,0,3,1,56,49,31
Malaria,0,0,0,20,12,13
Murine Typhus,1,0,0,21,8,8
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,27,2,2
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,1,2,2
Legionellosis,3,0,0,22,26,20
Measles,0,0,0,6,3,12
Melioidosis,0,2,2,36,33,34
Meningococcal Disease,0,0,0,3,3,6
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,28,19,NA
Mumps,5,4,5,161,158,257
Pertussis,1,1,0,15,1,11
Pneumococcal Disease (Invasive),1,3,2,125,52,52
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,28,27,33
Acute Hepatitis C,0,0,0,13,17,16
Botulism,0,0,0,0,0,1
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2663,2111,2111,,,NA
Acute Conjunctivitis,60,54,54,,,NA
Acute Diarrhoea,302,351,351,,,NA
Chickenpox,4,5,5,,,NA
"Hand, Foot And Mouth Disease",14,14,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,OCT,,Cumulative 2023,,
HIV/AIDS,11,,162,,,
Legally Notifiable STIs,279,,3059,,,
Tuberculosis,106,,1028,,,
