"",E Week14,"Cumulative first14Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,2018 -2022,2018 -2022,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,2,1,14,5,11
Acute Hepatitis E,2,1,1,21,7,15
Campylobacteriosis,2,16,11,113,217,119
Cholera,0,3,0,0,6,1
Paratyphoid,0,0,0,5,3,4
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,16,33,32,293,327,365
Typhoid,0,0,0,19,14,14
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,4,0,1
Dengue Fever,117,642,108,2478,3972,2306
Dengue Haemorrhagic Fever,0,1,0,2,8,8
Japanese Encephalitis^,0,0,0,0,0,3
Leptospirosis^,0,2,1,18,8,8
Malaria,0,0,0,3,2,6
Murine Typhus^,0,0,0,2,4,3
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,7,4,3
Measles,0,0,0,3,0,10
Melioidosis,1,0,0,11,11,11
Meningococcal Disease,0,0,0,1,1,2
Mpox,1,0,NA,4,0,NA
Mumps,5,1,5,50,26,95
Pertussis,0,0,1,2,0,9
Pneumococcal Disease (invasive),1,1,1,36,10,30
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,2,0,0,9,9,13
Acute hepatitis C,0,1,1,2,6,6
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,3,0,NA,113,1,NA
Other patients tested,1,0,NA,56,1,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,3026,1469,2065,,,
Acute conjunctivitis,85,40,45,,,
Acute Diarrhoea,399,374,387,,,
Chickenpox,6,2,6,,,
"Hand, Foot And Mouth Disease",27,7,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,FEB,,Cumulative 2023,,
HIV/AIDS,20,,33,,,
Legally Notifiable STIs*,380,,652,,,
Tuberculosis,107,,213,,,
