"",E Week11,"Cumulative first11Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,0,1,12,2,8
Acute Hepatitis E,1,0,1,18,4,13
Campylobacteriosis,8,18,8,99,164,97
Cholera,0,0,0,0,1,1
Paratyphoid,0,1,0,5,3,4
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,14,25,32,235,233,281
Typhoid,0,0,0,17,10,10
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,4,0,1
Dengue Fever,149,421,129,2123,2379,2003
Dengue Haemorrhagic Fever,0,0,0,2,7,7
Japanese Encephalitis^,0,0,0,0,0,2
Leptospirosis^,1,0,0,14,6,6
Malaria,0,0,0,2,1,5
Murine Typhus^,0,0,0,2,4,2
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,7,4,2
Measles,0,0,0,3,0,8
Melioidosis,3,0,0,8,11,8
Meningococcal Disease,0,0,0,1,1,2
Mpox,0,0,NA,2,0,NA
Mumps,3,2,4,35,20,80
Pertussis,0,0,0,2,0,8
Pneumococcal Disease (invasive),1,0,0,27,6,26
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,1,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,0,0,0,6,7,10
Acute hepatitis C,0,1,0,1,4,4
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,11,0,NA,101,1,NA
Other patients tested,6,0,NA,43,1,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,2592,2071,2288,,,
Acute conjunctivitis,79,37,56,,,
Acute Diarrhoea,324,269,369,,,
Chickenpox,4,4,8,,,
"Hand, Foot And Mouth Disease",24,6,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,FEB,,Cumulative 2023,,
HIV/AIDS,20,,33,,,
Legally Notifiable STIs*,380,,652,,,
Tuberculosis,107,,213,,,
