"",E Week17,"Cumulative first17Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,14,5,5
Acute Hepatitis E,1,0,0,23,8,17
Campylobacteriosis,7,16,13,138,272,141
Cholera,0,0,0,0,6,1
Paratyphoid,0,0,0,5,4,4
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,21,39,29,357,438,456
Typhoid,1,1,0,21,16,16
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,4,0,1
Dengue Fever,129,1002,156,2853,6649,2721
Dengue Haemorrhagic Fever,0,1,1,2,10,10
Japanese Encephalitis^,0,0,0,0,0,3
Leptospirosis^,0,1,1,19,10,10
Malaria,1,0,0,4,2,7
Murine Typhus^,0,0,0,2,4,3
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,1,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,0,0,0,8,5,5
Measles,1,0,0,5,0,10
Melioidosis,1,0,0,14,11,11
Meningococcal Disease,0,0,0,1,1,2
Mpox,2,0,NA,6,0,NA
Mumps,1,3,5,54,37,100
Pertussis,0,0,0,2,0,10
Pneumococcal Disease (invasive),3,0,1,49,15,32
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,0,2,0,12,13,16
Acute hepatitis C,0,0,0,3,7,7
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,5,0,NA,118,1,NA
Other patients tested,4,0,NA,60,2,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,2677,1431,1431,,,
Acute conjunctivitis,69,40,45,,,
Acute Diarrhoea,335,416,453,,,
Chickenpox,7,4,5,,,
"Hand, Foot And Mouth Disease",21,11,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,MAR,,Cumulative 2023,,
HIV/AIDS,18,,51,,,
Legally Notifiable STIs*,353,,1005,,,
Tuberculosis,111,,319,,,
