"",E Week49,"Cumulative first49Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,1,41,23,23
Acute Hepatitis E,0,1,1,51,35,49
Campylobacteriosis,10,9,9,413,557,460
Cholera,0,0,0,0,7,2
Paratyphoid,0,0,0,8,10,10
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,25,18,31,1192,1214,1449
Typhoid,0,0,0,53,68,42
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,13,27,15
Dengue Fever,183,326,228,9217,31286,15137
Dengue Haemorrhagic Fever,0,1,1,10,44,44
Japanese Encephalitis,0,0,0,0,0,8
Leptospirosis,2,3,0,59,52,33
Malaria,1,1,0,21,14,14
Murine Typhus,2,0,0,24,8,8
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,2,0,0,29,2,2
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,2,2,2
Legionellosis,2,0,0,26,26,21
Measles,0,1,0,6,4,12
Melioidosis,2,0,0,40,33,37
Meningococcal Disease,0,0,0,3,3,7
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,30,19,NA
Mumps,3,1,3,170,161,268
Pertussis,2,0,0,17,1,11
Pneumococcal Disease (Invasive),2,3,3,129,55,55
Rubella,0,0,0,0,0,1
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,1,29,27,35
Acute Hepatitis C,1,0,0,14,17,16
Botulism,0,0,0,0,0,1
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,3590,1989,1989,,,NA
Acute Conjunctivitis,59,57,57,,,NA
Acute Diarrhoea,285,355,355,,,NA
Chickenpox,5,4,4,,,NA
"Hand, Foot And Mouth Disease",10,15,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,NOV,,Cumulative 2023,,
HIV/AIDS,16,,178,,,
Legally Notifiable STIs,334,,3393,,,
Tuberculosis,110,,1138,,,
