"",E Week15,"Cumulative first15Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,14,5,11
Acute Hepatitis E,3,1,1,24,8,16
Campylobacteriosis,6,22,12,119,239,126
Cholera,0,0,0,0,6,1
Paratyphoid,0,1,0,5,4,4
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,23,34,31,316,361,396
Typhoid,1,0,0,20,14,14
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,4,0,1
Dengue Fever,134,733,125,2612,4705,2431
Dengue Haemorrhagic Fever,0,1,0,2,9,9
Japanese Encephalitis^,0,0,0,0,0,3
Leptospirosis^,0,1,1,18,9,9
Malaria,0,0,0,3,2,6
Murine Typhus^,0,0,0,2,4,3
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,7,4,4
Measles,0,0,0,3,0,10
Melioidosis,0,0,1,11,11,11
Meningococcal Disease,0,0,0,1,1,2
Mpox,0,0,NA,4,0,NA
Mumps,1,3,3,51,29,97
Pertussis,0,0,0,2,0,9
Pneumococcal Disease (invasive),6,4,0,42,14,30
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,1,1,1,10,10,14
Acute hepatitis C,0,1,0,2,7,6
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,1,0,NA,114,1,NA
Other patients tested,2,0,NA,58,1,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,3115,1439,1558,,,
Acute conjunctivitis,74,43,43,,,
Acute Diarrhoea,345,388,410,,,
Chickenpox,5,4,5,,,
"Hand, Foot And Mouth Disease",27,8,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,MAR,,Cumulative 2023,,
HIV/AIDS,18,,51,,,
Legally Notifiable STIs*,353,,1005,,,
Tuberculosis,111,,319,,,
