"",E Week19,"Cumulative first19Week",,,,
"",2023*,2022,Median,2023,2022,Median
"",,2018 -2022,2018 -2022,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,15,5,5
Acute Hepatitis E,0,1,1,25,10,18
Campylobacteriosis,9,17,9,160,303,161
Cholera,1,0,0,1,7,1
Paratyphoid,1,1,0,7,5,6
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,25,24,24,410,499,533
Typhoid,1,3,1,22,25,24
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,0,5,1,1
Dengue Fever,100,1311,287,3067,8805,3200
Dengue Haemorrhagic Fever,0,4,0,2,15,15
Japanese Encephalitis^,0,0,0,0,0,3
Leptospirosis^,1,3,3,21,13,13
Malaria,0,1,0,4,4,7
Murine Typhus^,1,0,0,4,4,3
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,2,0,0,3,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,1
Legionellosis,0,2,0,8,7,5
Measles,0,0,0,5,0,10
Melioidosis,0,0,1,15,12,13
Meningococcal Disease,0,0,0,1,1,2
Mpox,0,0,NA,6,0,NA
Mumps,11,2,7,69,39,113
Pertussis,2,0,0,6,0,11
Pneumococcal Disease (invasive),2,0,2,53,16,33
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,1,0,1,15,13,16
Acute hepatitis C,3,2,1,7,9,8
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,6,0,NA,128,1,NA
Other patients tested,1,0,NA,65,2,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,2631,1708,1708,,,
Acute conjunctivitis,57,39,49,,,
Acute Diarrhoea,309,438,438,,,
Chickenpox,3,4,5,,,
"Hand, Foot And Mouth Disease",28,13,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,APR,,Cumulative 2023,,
HIV/AIDS,20,,71,,,
Legally Notifiable STIs*,287,,1292,,,
Tuberculosis,105,,418,,,
